"Part";"Value";"Device";"Package";"Description";"";
"#0";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#1";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#2";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#3";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#4";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"#RST";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"BAT-3.7V";"DW02S";"CON2DW02S";"DW02S";"";"";
"C1";"10uF/16V/105C(5x11mm,RM2)";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";
"C2";"100nF/2010";"C-EU025-025X050";"C025-025X050";"CAPACITOR, European symbol";"";
"D1";"1N4148/DO35";"DDO35";"DO35-200MILS";"DIODES";"";
"D2";"1N4148/DO35";"DDO35";"DO35-200MILS";"DIODES";"";
"D3";"1N4148/DO35";"DDO35";"DO35-200MILS";"DIODES";"";
"GND";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
"PWR";"LED/3mm/Green";"LED3.0MM";"LED-3.0MM";"";"";
"R1";"10k/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R2";"1.5k/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R3";"1.5k/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R4";"22R/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R5";"22R/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R6";"10k/0.125W";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"STAT";"LED/3mm/Red";"LED3.0MM";"LED-3.0MM";"";"";
"U1";"ATtiny85-20PU+(DIL-8)+2*(HR1x4)";"ATTINY85-20PU";"DIP8";"Atmel 8-bit AVR Microcontroller with 2/4/8K Bytes In-System Programmable Flash";"";
"USB";"USB-B";"USB_SHIELD";"USB_NEAR_BLACK";"";"";
"VCC";"TESTPAD3";"TESTPAD3";"TEST_PAD40/70/SQUARE";"drill 40mils, diameter 70mils";"";
